"Name","model","dataset","bn","aggr","conv_layers","save_name","num_layers","hidden","best_test_acc","best_test_f1","best_val_acc","best_val_f1"
"CiteSeer_graphsage_256_3_3_max","graphsage","CiteSeer","false","max","3","CiteSeer_graphsage_256_3_3_max","3","256","0.7509999871253967","0.6742149591445923","0.7459999918937683","0.6934338212013245"
"CiteSeer_graphsage_256_3_3_mean","graphsage","CiteSeer","false","mean","3","CiteSeer_graphsage_256_3_3_mean","3","256","0.7649999856948853","0.7300484776496887","0.7820000052452087","0.7305240631103516"
"CiteSeer_graphsage_256_3_3_add","graphsage","CiteSeer","false","add","3","CiteSeer_graphsage_256_3_3_add","3","256","0.7459999918937683","0.691765308380127","0.7419999837875366","0.6900531053543091"
"CiteSeer_graphsage_256_3_3_max_bn","graphsage","CiteSeer","true","max","3","CiteSeer_graphsage_256_3_3_max_bn","3","256","0.7149999737739563","0.6849277019500732","0.7160000205039978","0.6794409155845642"
"CiteSeer_graphsage_256_3_3_mean_bn","graphsage","CiteSeer","true","mean","3","CiteSeer_graphsage_256_3_3_mean_bn","3","256","0.7089999914169312","0.6817468404769897","0.7160000205039978","0.6795004606246948"
"CiteSeer_graphsage_256_3_3_add_bn","graphsage","CiteSeer","true","add","3","CiteSeer_graphsage_256_3_3_add_bn","3","256","0.734000027179718","0.7048633098602295","0.7319999933242798","0.6889162063598633"
"Cora_graphsage_256_3_3_max","graphsage","Cora","false","max","3","Cora_graphsage_256_3_3_max","3","256","0.8289999961853027","0.8177633285522461","0.8560000061988831","0.8485167026519775"
"Cora_graphsage_256_3_3_mean","graphsage","Cora","false","mean","3","Cora_graphsage_256_3_3_mean","3","256","0.8600000143051147","0.8463024497032166","0.8799999952316284","0.8732273578643799"
"Cora_graphsage_256_3_3_add","graphsage","Cora","false","add","3","Cora_graphsage_256_3_3_add","3","256","0.8429999947547913","0.8328737020492554","0.8679999709129333","0.8634471893310547"
"Cora_graphsage_256_3_3_max_bn","graphsage","Cora","true","max","3","Cora_graphsage_256_3_3_max_bn","3","256","0.8209999799728394","0.8080556988716125","0.8700000047683716","0.8615899682044983"
"Cora_graphsage_256_3_3_mean_bn","graphsage","Cora","true","mean","3","Cora_graphsage_256_3_3_mean_bn","3","256","0.8209999799728394","0.8116832971572876","0.8560000061988831","0.8397638201713562"
"Cora_graphsage_256_3_3_add_bn","graphsage","Cora","true","add","3","Cora_graphsage_256_3_3_add_bn","3","256","0.8379999995231628","0.8273431062698364","0.8759999871253967","0.8675998449325562"
"PubMed_graphsage_256_3_3_max","graphsage","PubMed","false","max","3","PubMed_graphsage_256_3_3_max","3","256","0.8669999837875366","0.85500168800354","0.9020000100135804","0.8970857858657837"
"PubMed_graphsage_256_3_3_mean","graphsage","PubMed","false","mean","3","PubMed_graphsage_256_3_3_mean","3","256","0.8600000143051147","0.8473712801933289","0.8859999775886536","0.8790764212608337"
"PubMed_graphsage_256_3_3_add","graphsage","PubMed","false","add","3","PubMed_graphsage_256_3_3_add","3","256","0.847000002861023","0.8367555141448975","0.8820000290870667","0.8760204315185547"
"PubMed_graphsage_256_3_3_max_bn","graphsage","PubMed","true","max","3","PubMed_graphsage_256_3_3_max_bn","3","256","0.8700000047683716","0.8591493368148804","0.9039999842643738","0.8997988700866699"
"PubMed_graphsage_256_3_3_mean_bn","graphsage","PubMed","true","mean","3","PubMed_graphsage_256_3_3_mean_bn","3","256","0.8600000143051147","0.8513138890266418","0.8999999761581421","0.8958413600921631"
"PubMed_graphsage_256_3_3_add_bn","graphsage","PubMed","true","add","3","PubMed_graphsage_256_3_3_add_bn","3","256","0.8529999852180481","0.8419397473335266","0.8880000114440918","0.8832443952560425"
"CiteSeer_gcn_256_3_1_add","gcn","CiteSeer","false","add","1","CiteSeer_gcn_256_3_1_add","3","256","0.7860000133514404","0.731637179851532","0.7799999713897705","0.7138848304748535"
"CiteSeer_gcn_256_3_2_add","gcn","CiteSeer","false","add","2","CiteSeer_gcn_256_3_2_add","3","256","0.7789999842643738","0.7147381901741028","0.7879999876022339","0.7166479825973511"
"CiteSeer_gcn_256_3_3_add","gcn","CiteSeer","false","add","3","CiteSeer_gcn_256_3_3_add","3","256","0.777999997138977","0.730928361415863","0.7820000052452087","0.7175184488296509"
"CiteSeer_gcn_256_3_1_add_bn","gcn","CiteSeer","true","add","1","CiteSeer_gcn_256_3_1_add_bn","3","256","0.7369999885559082","0.6963467001914978","0.7599999904632568","0.7226877808570862"
"CiteSeer_gcn_256_3_2_add_bn","gcn","CiteSeer","true","add","2","CiteSeer_gcn_256_3_2_add_bn","3","256","0.7540000081062317","0.7222499847412109","0.75","0.7086043953895569"
"CiteSeer_gcn_256_3_3_add_bn","gcn","CiteSeer","true","add","3","CiteSeer_gcn_256_3_3_add_bn","3","256","0.7129999995231628","0.6838844418525696","0.7139999866485596","0.6775091290473938"
"Cora_gcn_256_3_1_add","gcn","Cora","false","add","1","Cora_gcn_256_3_1_add","3","256","0.8190000057220459","0.8049455881118774","0.828000009059906","0.811551570892334"
"Cora_gcn_256_3_2_add","gcn","Cora","false","add","2","Cora_gcn_256_3_2_add","3","256","0.8510000109672546","0.8353017568588257","0.8640000224113464","0.849612832069397"
"Cora_gcn_256_3_3_add","gcn","Cora","false","add","3","Cora_gcn_256_3_3_add","3","256","0.8539999723434448","0.8393034934997559","0.878000020980835","0.8634805083274841"
"Cora_gcn_256_3_1_add_bn","gcn","Cora","true","add","1","Cora_gcn_256_3_1_add_bn","3","256","0.824999988079071","0.8130532503128052","0.828000009059906","0.8176576495170593"
"Cora_gcn_256_3_2_add_bn","gcn","Cora","true","add","2","Cora_gcn_256_3_2_add_bn","3","256","0.847000002861023","0.8367981910705566","0.8560000061988831","0.8445495367050171"
"Cora_gcn_256_3_3_add_bn","gcn","Cora","true","add","3","Cora_gcn_256_3_3_add_bn","3","256","0.8209999799728394","0.8112019896507263","0.8460000157356262","0.8332347869873047"
"PubMed_gcn_256_3_1_add","gcn","PubMed","false","add","1","PubMed_gcn_256_3_1_add","3","256","0.8830000162124634","0.877048909664154","0.9200000166893004","0.918971300125122"
"PubMed_gcn_256_3_2_add","gcn","PubMed","false","add","2","PubMed_gcn_256_3_2_add","3","256","0.871999979019165","0.8648010492324829","0.906000018119812","0.8990194797515869"
"PubMed_gcn_256_3_3_add","gcn","PubMed","false","add","3","PubMed_gcn_256_3_3_add","3","256","0.8619999885559082","0.8522315621376038","0.8899999856948853","0.8843042850494385"
"PubMed_gcn_256_3_1_add_bn","gcn","PubMed","true","add","1","PubMed_gcn_256_3_1_add_bn","3","256","0.8809999823570251","0.8753229975700378","0.906000018119812","0.9074273705482484"
"PubMed_gcn_256_3_2_add_bn","gcn","PubMed","true","add","2","PubMed_gcn_256_3_2_add_bn","3","256","0.8730000257492065","0.8639891743659973","0.9179999828338624","0.9150634407997132"
"PubMed_gcn_256_3_3_add_bn","gcn","PubMed","true","add","3","PubMed_gcn_256_3_3_add_bn","3","256","0.8610000014305115","0.8492149114608765","0.9079999923706056","0.905032515525818"
"CiteSeer_gcn_nonorm_256_3_3_max","gcn_nonorm","CiteSeer","false","max","3","CiteSeer_gcn_nonorm_256_3_3_max","3","256","0.7670000195503235","0.7124132513999939","0.7680000066757202","0.7107118368148804"
"CiteSeer_gcn_nonorm_256_3_3_mean","gcn_nonorm","CiteSeer","false","mean","3","CiteSeer_gcn_nonorm_256_3_3_mean","3","256","0.7649999856948853","0.7300484776496887","0.7820000052452087","0.7305240631103516"
"CiteSeer_gcn_nonorm_256_3_3_add","gcn_nonorm","CiteSeer","false","add","3","CiteSeer_gcn_nonorm_256_3_3_add","3","256","0.75","0.7006068825721741","0.7419999837875366","0.6894134879112244"
"CiteSeer_gcn_nonorm_256_3_3_max_bn","gcn_nonorm","CiteSeer","true","max","3","CiteSeer_gcn_nonorm_256_3_3_max_bn","3","256","0.7269999980926514","0.6897391676902771","0.722000002861023","0.6683993339538574"
"CiteSeer_gcn_nonorm_256_3_3_mean_bn","gcn_nonorm","CiteSeer","true","mean","3","CiteSeer_gcn_nonorm_256_3_3_mean_bn","3","256","0.7210000157356262","0.6919329762458801","0.7160000205039978","0.6785730123519897"
"CiteSeer_gcn_nonorm_256_3_3_add_bn","gcn_nonorm","CiteSeer","true","add","3","CiteSeer_gcn_nonorm_256_3_3_add_bn","3","256","0.7369999885559082","0.7084197998046875","0.7360000014305115","0.697109580039978"
"Cora_gcn_nonorm_256_3_3_max","gcn_nonorm","Cora","false","max","3","Cora_gcn_nonorm_256_3_3_max","3","256","0.8379999995231628","0.8269023895263672","0.8820000290870667","0.8705368638038635"
"Cora_gcn_nonorm_256_3_3_mean","gcn_nonorm","Cora","false","mean","3","Cora_gcn_nonorm_256_3_3_mean","3","256","0.8600000143051147","0.8463024497032166","0.8799999952316284","0.8732273578643799"
"Cora_gcn_nonorm_256_3_3_add","gcn_nonorm","Cora","false","add","3","Cora_gcn_nonorm_256_3_3_add","3","256","0.8339999914169312","0.8238787651062012","0.8700000047683716","0.8619023561477661"
"Cora_gcn_nonorm_256_3_3_max_bn","gcn_nonorm","Cora","true","max","3","Cora_gcn_nonorm_256_3_3_max_bn","3","256","0.8220000267028809","0.8131879568099976","0.8560000061988831","0.8448986411094666"
"Cora_gcn_nonorm_256_3_3_mean_bn","gcn_nonorm","Cora","true","mean","3","Cora_gcn_nonorm_256_3_3_mean_bn","3","256","0.8159999847412109","0.8073310852050781","0.8560000061988831","0.8371661305427551"
"Cora_gcn_nonorm_256_3_3_add_bn","gcn_nonorm","Cora","true","add","3","Cora_gcn_nonorm_256_3_3_add_bn","3","256","0.8420000076293945","0.8286876678466797","0.8700000047683716","0.8638169765472412"
"PubMed_gcn_nonorm_256_3_3_max","gcn_nonorm","PubMed","false","max","3","PubMed_gcn_nonorm_256_3_3_max","3","256","0.8629999756813049","0.8504136800765991","0.8980000019073486","0.8899087905883789"
"PubMed_gcn_nonorm_256_3_3_mean","gcn_nonorm","PubMed","false","mean","3","PubMed_gcn_nonorm_256_3_3_mean","3","256","0.8600000143051147","0.8473712801933289","0.8880000114440918","0.8817304372787476"
"PubMed_gcn_nonorm_256_3_3_add","gcn_nonorm","PubMed","false","add","3","PubMed_gcn_nonorm_256_3_3_add","3","256","0.847000002861023","0.8332372903823853","0.8579999804496765","0.8479208946228027"
"PubMed_gcn_nonorm_256_3_3_max_bn","gcn_nonorm","PubMed","true","max","3","PubMed_gcn_nonorm_256_3_3_max_bn","3","256","0.8579999804496765","0.8458905220031738","0.8939999938011169","0.890303373336792"
"PubMed_gcn_nonorm_256_3_3_mean_bn","gcn_nonorm","PubMed","true","mean","3","PubMed_gcn_nonorm_256_3_3_mean_bn","3","256","0.8539999723434448","0.8392472267150879","0.8999999761581421","0.8945878744125366"
"PubMed_gcn_nonorm_256_3_3_add_bn","gcn_nonorm","PubMed","true","add","3","PubMed_gcn_nonorm_256_3_3_add_bn","3","256","0.8479999899864197","0.8373873233795166","0.8920000195503235","0.8859759569168091"